"vertices" "degree_2nd_moment" "mean_length"
8 4.75 1.85714
8 3.25 1.42857
8 3.75 1.28571
8 3.75 1.42857
8 3.5 1.14286
8 3.75 1.42857
8 4 2
8 3.75 1.57143
8 3.75 1.57143
8 3.25 1.42857
8 3.5 1.42857
8 3.5 1.85714
8 3.75 1.57143
8 4 2
8 4 1.85714
8 3.5 1.14286
8 3.25 1
8 4 1.85714
8 3.75 1.42857
8 5 2.57143
8 4.75 2.14286
8 4.25 1.71429
8 3.5 1.14286
8 4.25 1.71429
8 4.75 1.85714
8 4.25 1.57143
8 4 1.42857
8 7 3.14286
8 4 1.71429
8 3.75 1.85714
8 4 1.85714
8 3.5 1.14286
8 3.75 1.57143
8 3.5 1.42857
8 4 1.71429
8 3.5 1.42857
8 3.5 1.57143
8 4 1.71429
8 3.75 1.42857
8 3.5 1.28571
8 4 2
8 3.5 1.57143
8 3.25 1
8 4 1.71429
8 4 2.28571
8 3.75 1.28571
8 3.75 1.28571
8 4.75 2.71429
8 3.75 1.85714
8 3.75 2.42857
8 3.5 1.57143
8 4.25 1.85714
8 3.5 1.42857
8 4 1.71429
8 4.25 2
8 4.25 2.14286
8 4.25 2
8 5 2
8 3.75 1.28571
8 3.5 1.14286
8 4 1.85714
8 3.5 1.28571
8 5 2.28571
8 5.75 2.42857
8 4.75 2.71429
8 7 3.14286
8 4 1.42857
8 4 1.71429
8 4.25 1.57143
8 3.5 1.14286
8 3.5 2
8 4 1.42857
8 4.25 1.85714
8 4.75 2
8 3.5 1.14286
8 4.25 1.57143
8 4.75 2.28571
8 4 1.42857
8 4.25 1.71429
8 3.75 1.28571
8 7 3.14286
8 4 1.85714
8 4 1.85714
8 3.5 2
8 3.5 1.28571
8 4.25 1.57143
8 4.75 2.57143
8 3.25 1.42857
8 3.5 1.57143
8 3.5 1.14286
8 4.75 2.14286
8 3.75 1.42857
8 5.75 2.42857
8 3.5 1.28571
8 5 2
8 4 1.71429
8 3.5 1.42857
8 4 1.71429
9 4 1.5
9 3.55556 1.25
9 3.55556 1.125
9 3.55556 1.375
9 3.55556 1.125
9 3.77778 1.375
9 3.77778 1.5
9 3.77778 1.5
9 4.44444 2.375
9 4.22222 1.5
9 4.66667 2.75
9 4.66667 2.25
9 4.44444 2.5
9 3.77778 2.25
9 3.55556 1.375
9 4.22222 1.875
9 4 1.75
9 3.55556 1.75
9 3.77778 1.5
9 4 1.875
9 4.44444 1.875
9 3.77778 2.25
9 3.77778 1.75
9 4 2.125
9 4.22222 1.75
9 3.55556 1.375
9 4 1.625
9 4 1.875
9 4.22222 1.5
9 4.44444 1.875
9 3.77778 1.375
9 4.88889 1.875
9 3.77778 1.5
9 3.77778 1.25
9 3.55556 1.75
9 4 1.375
9 4 2.125
9 3.77778 1.5
9 4 1.875
9 3.77778 1.375
9 4 1.625
9 4.22222 1.875
9 4.88889 1.875
9 4.44444 1.875
9 4.22222 2
9 4 1.375
9 4.22222 1.875
9 4.22222 1.5
9 3.77778 1.375
9 4.44444 1.625
9 3.55556 1.375
9 3.55556 1.125
9 3.55556 1.625
9 4.66667 1.875
9 4 1.375
9 3.55556 1.125
9 4 1.5
9 4.66667 2.375
9 3.77778 1.625
9 4.22222 1.5
9 4 1.75
9 4 1.375
9 4 1.375
9 5.33333 2.625
9 4.88889 1.875
9 4.22222 1.875
9 3.77778 1.625
9 3.77778 1.25
9 3.55556 1.125
9 4.22222 1.625
9 4.66667 2
9 4.22222 1.875
9 4.22222 1.875
9 4.88889 2.125
9 3.55556 1.5
9 4.22222 1.5
9 4 1.875
9 4 1.625
9 4.66667 2
9 4.22222 1.5
9 3.77778 1.375
9 4.22222 2
9 3.77778 1.25
9 4.22222 1.5
9 4.22222 1.875
9 4.22222 1.625
9 4.22222 1.5
9 3.55556 1.5
9 3.77778 1.375
9 4.66667 2.875
9 4.22222 2.25
9 4.44444 1.875
9 3.55556 1.25
9 4.66667 1.875
9 4.22222 1.75
9 3.77778 2.625
9 5.33333 2.125
9 3.55556 2
9 3.55556 1.375
9 5.55556 2.25
9 4.22222 2
9 3.77778 1.25
9 4.66667 1.875
9 3.55556 1.25
9 4 1.875
9 4 2.125
9 4.22222 2
9 4.22222 1.75
9 4.66667 1.75
9 4.22222 1.75
9 4.66667 2
9 4.22222 2.125
9 4.66667 2.125
9 4.22222 1.5
9 4.66667 1.875
9 4 1.625
9 5.55556 2.75
9 4.22222 1.625
9 4 1.375
9 4.22222 1.5
9 4.22222 2.125
9 4 1.375
9 4 2.25
9 3.77778 1.25
9 4.66667 2.5
9 3.55556 1.375
9 3.77778 1.875
9 4.44444 2.375
9 4.22222 2
9 4 2.125
9 5.55556 2.5
9 4.22222 1.5
9 4 1.625
9 5.55556 2.375
9 3.77778 1.5
9 3.55556 1.125
9 4.66667 1.875
9 4.22222 1.5
9 4.66667 2
9 4.88889 2
9 3.55556 1.125
9 3.55556 1.5
9 3.77778 1.5
9 3.55556 1.75
9 4 1.75
9 4 1.375
9 4.22222 2
9 4.66667 2.125
9 4.22222 2.25
9 4 2.125
9 4.66667 2.25
9 5.55556 3.125
9 4 1.375
9 3.77778 1.5
9 3.55556 1.125
9 4.88889 1.875
9 4.66667 1.875
9 3.55556 1.625
9 4.88889 2.125
9 4.66667 1.875
9 4.22222 2
9 3.77778 1.25
9 4.88889 2
9 3.55556 1.25
9 3.77778 2
9 3.77778 1.5
9 3.55556 1.25
9 4 1.625
9 4.22222 2.125
9 4.66667 2.125
9 4.88889 2
9 4 1.5
9 4.66667 1.75
9 3.55556 1.5
9 3.77778 1.25
9 4 1.875
9 4.66667 2.125
9 4.66667 2.625
9 4.22222 1.5
9 5.55556 3
9 3.77778 1.375
9 4 1.625
9 4.22222 1.5
9 3.77778 1.5
9 4.22222 2
9 4 1.875
9 4.22222 1.5
9 4 1.375
9 4 2.125
9 4.22222 2.625
9 3.77778 1.5
9 4.22222 1.75
9 3.77778 1.5
9 4.22222 2
9 5.55556 2.625
9 4 1.5
9 4.88889 2.25
9 4.66667 1.875
9 3.77778 1.25
9 5.55556 2.625
9 4 1.75
9 3.77778 1.75
9 3.77778 1.25
9 3.55556 1.25
9 3.55556 1.125
9 4.22222 1.75
9 3.77778 1.375
9 4.66667 2.875
9 4.44444 1.625
9 4.66667 1.875
9 3.55556 1.125
9 4.22222 1.625
9 3.77778 1.25
9 5.55556 2.5
9 4.22222 1.5
9 4.66667 1.75
9 6.66667 3.125
9 3.55556 1.5
9 4 1.375
9 4.66667 2.125
9 4.22222 1.875
9 4.88889 2.25
9 4.22222 1.5
9 4.66667 1.75
9 4.66667 2.25
9 3.77778 1.375
9 4 2.375
9 4 1.625
9 4.66667 1.75
9 4.22222 1.5
9 4 1.625
9 4.66667 1.75
9 4 2.125
9 4.22222 1.625
9 4 1.375
9 3.77778 1.375
9 4 1.625
9 4.22222 1.875
9 4 1.375
9 4.22222 1.5
9 3.77778 1.375
9 5.55556 2.375
9 3.55556 1.125
9 5.55556 3
9 4.88889 2.125
9 3.77778 1.25
9 3.55556 1.125
9 3.55556 1.5
9 3.55556 1.25
9 4.66667 2
9 4 1.375
9 4 1.375
9 4.22222 1.625
9 3.77778 1.5
9 4 2.25
9 3.55556 1.25
9 3.55556 1.125
9 4 1.375
9 3.77778 1.5
9 4.66667 2
9 4 2
9 3.77778 1.25
9 4 1.625
9 3.77778 1.625
9 5.55556 2.25
9 4.66667 2.125
9 4.44444 1.625
9 4.22222 1.75
9 3.77778 1.625
9 4 2.125
9 4.66667 2.125
9 4.22222 2
9 4.88889 1.875
9 4.66667 2.625
9 4.88889 2.125
9 4 1.875
9 4.66667 1.75
9 3.55556 1.25
9 4.22222 1.5
9 3.55556 1.125
9 4 1.375
9 4 1.5
9 5.55556 2.375
9 4 2.125
9 3.55556 1.375
9 3.55556 1.75
9 4.22222 1.5
9 4.22222 1.75
9 3.77778 1.25
9 3.77778 1.5
9 4.22222 1.875
9 4.66667 2.125
9 4 1.375
9 3.55556 1.375
9 4 1.875
9 3.77778 1.625
9 3.77778 1.5
9 4.22222 1.75
9 4 1.5
9 3.55556 1.625
9 4.22222 1.5
9 5.55556 2.25
9 4.66667 2.125
9 3.55556 1.25
9 4 1.375
9 3.77778 1.25
9 3.77778 1.25
9 3.55556 1.25
9 6.66667 3.125
9 3.55556 1.875
9 4.66667 2.25
9 4.22222 2
9 4.66667 2.125
9 4.22222 1.5
9 4.22222 1.5
9 4 1.375
9 3.77778 1.375
9 3.77778 1.25
9 3.55556 1.5
9 4.44444 3.75
9 4.22222 1.75
9 4.22222 2
9 5.55556 2.375
9 4 1.625
9 3.77778 1.375
9 4 1.375
9 3.77778 1.25
9 3.77778 1.625
9 4.66667 1.875
9 4.66667 2.125
9 3.55556 1.75
9 4.66667 2.75
9 4.66667 1.75
9 4 1.5
9 4.66667 2.875
9 4.88889 1.875
9 5.55556 2.5
9 4.22222 1.5
9 3.55556 1.5
9 4.22222 1.5
9 3.77778 1.375
9 4 1.375
9 4.66667 2.5
9 4.22222 2.125
9 4.66667 2.75
9 4.66667 2
9 4 1.75
9 4.22222 1.75
9 3.55556 1.5
9 4 1.875
9 4.66667 2.125
9 3.55556 1.375
9 4.66667 1.75
9 4 1.375
9 3.55556 1.25
9 4 1.875
9 4.22222 1.5
9 4 2
9 3.77778 1.5
9 4.22222 1.5
9 3.55556 1.375
9 4 1.875
9 4 1.625
9 4 1.875
9 4 2.125
9 4 1.75
9 4 1.75
9 3.55556 1.125
9 3.55556 1.125
9 4 1.625
9 4.88889 2
9 4.66667 2.875
9 4.66667 2.875
9 4 1.75
9 4.66667 2.625
9 3.77778 1.25
9 3.77778 1.375
9 5.55556 2.25
9 4 1.75
9 3.55556 1.375
9 4 1.5
9 4.44444 1.875
9 4.22222 1.5
9 4.22222 1.75
9 3.55556 1.75
9 4.88889 2.625
9 3.55556 1.125
9 5.33333 2.125
9 3.77778 1.25
9 4.22222 1.75
9 3.77778 2.125
9 6.66667 3.25
9 3.77778 1.5
9 4 1.375
9 4 2.375
9 4.22222 1.5
9 4.88889 2
9 5.77778 2.375
9 4.22222 2.375
9 3.55556 1.375
9 3.77778 1.625
9 3.55556 1.625
9 3.77778 1.5
9 4.66667 1.75
9 4.44444 1.875
9 4.66667 2.5
9 3.55556 1.75
9 3.55556 1.25
9 4.66667 2.125
9 3.77778 1.875
9 4.22222 1.75
9 4.22222 2.125
9 4.66667 1.75
9 4 1.375
9 4.88889 1.875
9 4.22222 1.75
9 3.77778 1.625
9 3.55556 1.625
9 4 1.625
9 4 1.75
9 5.33333 2.125
9 3.77778 1.375
9 3.77778 2.125
9 3.55556 1.5
9 4.22222 1.875
9 4.66667 2.875
9 4.66667 2.5
9 4.88889 1.875
9 4.66667 1.875
9 3.77778 1.75
9 3.77778 1.75
9 4.66667 2.25
9 4 2.125
9 4.22222 2.125
9 4.66667 2.125
9 4.22222 2.125
9 4 1.5
9 3.55556 1.125
9 4.88889 3.125
9 4.22222 1.625
9 5.55556 2.25
9 3.77778 1.25
9 3.77778 1.25
9 3.77778 1.375
9 3.77778 1.625
9 4.66667 2.125
9 3.77778 2.125
9 5.55556 2.25
9 4 1.875
9 4.88889 2.25
9 4.22222 2
9 4.22222 2
9 4 1.375
9 4.22222 1.75
9 4.66667 2.125
9 5.55556 2.625
9 3.77778 1.5
9 4.44444 2.125
9 5.77778 2.375
9 3.55556 1.375
9 3.77778 1.5
9 4.66667 2.125
9 4.66667 2.25
9 4.88889 1.875
9 4.88889 1.875
9 4 1.5
9 3.77778 1.625
9 4 1.75
9 4 1.875
9 4.22222 1.625
9 4.66667 2
9 5.55556 2.625
9 4 1.5
9 3.77778 2.125
9 3.55556 1.125
9 4.66667 2
9 3.77778 1.875
9 3.55556 1.125
9 4.66667 1.75
9 3.77778 1.375
9 3.77778 1.25
9 4.22222 1.75
9 3.77778 1.875
9 4.22222 1.5
9 3.77778 1.625
9 4.22222 1.625
9 4 1.75
9 4 1.75
9 3.55556 1.125
9 3.55556 1.625
9 4.22222 1.5
9 4 2
9 4.44444 1.625
9 4.88889 1.875
9 4.44444 1.625
9 4 1.875
9 4 1.875
9 5.55556 2.375
9 4.22222 1.5
9 4 1.375
9 4.22222 1.5
9 4.22222 1.75
9 3.55556 1.5
9 3.77778 1.25
9 3.55556 1.75
9 3.77778 2.125
9 3.77778 1.375
9 3.77778 1.5
9 4.22222 2.625
9 3.77778 2.5
9 4.66667 2.875
9 4.22222 1.5
9 4.22222 2
9 4.88889 3
9 3.55556 1.125
9 3.55556 1.125
9 5.55556 2.875
9 3.77778 2
9 4.22222 1.625
9 4 2.375
9 4.66667 2
9 3.77778 1.375
9 6.66667 3.5
9 4.22222 2.125
9 4 1.375
9 4 1.75
9 4.22222 1.625
9 4.22222 2.5
9 4 1.625
9 4 2.375
9 4 1.5
9 5.33333 2.125
9 4.22222 2
9 4 2.25
9 4 1.5
9 4.22222 2
9 3.77778 1.25
9 4.66667 2
9 4.66667 2.25
9 3.77778 1.75
9 5.33333 2.125
9 4.66667 1.75
9 4.88889 1.875
9 4.88889 1.875
9 4 1.875
9 4.22222 1.75
9 4.66667 2
9 4 1.625
9 4.22222 1.5
9 4 1.375
9 6.66667 3.125
9 4 1.5
9 4.66667 2
9 4.66667 1.75
9 4 2.375
9 4 2.375
9 4.22222 2.125
9 4.66667 2.125
9 3.77778 1.25
9 4.22222 1.75
9 5.77778 2.625
9 3.55556 1.625
9 4.22222 1.5
9 3.77778 1.25
9 4 2.25
9 4 2.125
9 3.77778 1.375
9 4.88889 3.125
9 3.55556 1.125
9 4.88889 2.375
9 4.22222 2
9 3.77778 1.875
9 4.22222 1.875
9 3.77778 2
9 4.44444 1.875
9 4.22222 1.75
9 3.77778 1.625
9 3.77778 1.375
9 5.77778 2.375
9 5.55556 2.5
9 3.77778 1.5
9 4.66667 2.25
9 3.55556 1.125
9 3.77778 1.25
9 4.22222 2
9 4.44444 1.625
9 4 1.5
9 4 1.5
9 4 1.5
9 4.22222 1.625
9 3.77778 1.625
9 4.22222 2.25
9 3.77778 1.25
9 3.55556 1.125
9 3.77778 1.375
9 3.77778 1.5
9 5.33333 3.125
9 4.22222 1.625
9 4 1.5
9 4.22222 2
9 4.22222 1.625
9 5.55556 2.375
9 3.55556 1.125
9 3.77778 1.5
9 4.22222 1.75
9 4.44444 2.125
9 3.77778 2.125
9 3.77778 1.625
9 3.55556 1.125
9 5.55556 2.5
9 4.22222 1.875
9 4.22222 1.5
9 4.22222 2.375
9 4.88889 1.875
9 3.55556 1.625
9 3.77778 2.125
9 3.77778 1.25
9 4.22222 2
9 3.77778 1.25
9 4 1.75
9 4.66667 2.125
9 3.55556 1.125
9 3.77778 1.25
9 4.66667 2.125
9 5.55556 3.125
9 4 2.25
9 4.22222 1.625
9 3.55556 1.25
9 4 1.625
9 4 1.625
9 4.44444 1.625
9 4.44444 1.625
9 4 1.375
9 3.55556 1.625
9 3.55556 1.375
9 4.66667 2
9 3.55556 1.25
9 4.22222 1.75
9 4.66667 2.125
9 3.55556 1.5
9 4.22222 2.375
9 4.66667 2
9 4 1.625
9 3.77778 1.5
9 4.66667 2.25
9 4.88889 1.875
9 4.22222 1.625
9 4.66667 1.75
9 4.22222 1.5
9 4.22222 1.875
9 3.77778 1.375
9 3.55556 1.25
9 4 1.75
9 4.22222 2
9 4 1.875
9 4.66667 1.75
9 3.77778 1.25
9 3.55556 2
9 3.55556 1.375
9 3.55556 1.25
9 3.77778 1.75
9 4 1.75
9 4.22222 1.875
9 4.66667 1.75
9 5.77778 2.375
9 4.66667 2.5
9 4.22222 1.625
9 4.22222 1.875
9 3.77778 1.75
9 4.66667 2
9 4.22222 1.625
9 3.55556 1.125
9 3.77778 1.75
9 3.77778 1.875
9 4 1.5
9 3.77778 1.375
9 4.22222 1.625
9 3.77778 1.625
9 4 1.625
9 4.66667 1.875
9 3.55556 1.625
9 4.22222 1.5
9 4 1.375
9 3.77778 1.5
9 4.44444 1.875
9 3.77778 1.625
9 4 1.75
9 4.66667 2
9 4.22222 1.875
9 4.66667 2.125
9 4.66667 2.25
9 3.77778 1.25
9 4 1.375
9 4 1.625
9 4.22222 2.5
9 4 1.75
9 4.66667 2
9 4 1.875
9 4.66667 1.75
9 4.22222 1.625
9 3.77778 1.75
9 4.22222 1.5
9 4.22222 2
9 3.55556 1.375
9 3.77778 1.375
9 3.55556 1.375
9 4.88889 1.875
9 4.22222 1.625
9 3.55556 1.125
9 3.77778 1.375
9 4 1.375
9 4.44444 1.625
9 3.77778 1.375
9 3.77778 1.75
9 3.55556 1.25
9 5.55556 3
9 4.22222 1.5
9 4 2.25
9 4.66667 2.125
9 4 1.375
9 4.88889 2.125
9 4 1.625
9 3.77778 1.875
9 4.66667 2.25
9 4.88889 1.875
9 4.22222 1.875
9 4 2.125
9 3.77778 1.25
9 4.88889 1.875
9 4.22222 1.75
9 4.22222 2
9 3.77778 1.25
9 3.55556 1.25
9 4 2.625
9 3.77778 1.625
9 3.77778 1.375
9 4 1.875
9 4.88889 2.125
9 5.55556 2.5
9 3.77778 1.25
9 5.55556 2.25
9 5.55556 3.25
9 5.33333 2.5
9 4.22222 1.75
9 4.22222 1.75
9 5.55556 2.5
9 6.66667 3.25
9 3.55556 1.125
9 4 1.75
9 4.88889 2.25
9 4.22222 1.625
9 5.55556 2.625
9 3.55556 1.125
9 3.77778 1.5
9 5.77778 2.375
9 4.22222 2
9 4.22222 2.125
9 3.55556 1.375
9 4 1.5
9 4 1.625
9 4.88889 1.875
9 4.88889 1.875
9 3.77778 1.875
9 4.22222 1.5
9 3.55556 1.625
9 4.88889 1.875
9 3.77778 1.625
9 3.77778 1.25
9 4 1.375
9 3.77778 1.25
9 3.55556 1.125
9 3.55556 1.5
9 4.66667 2
9 3.55556 1.375
9 3.77778 1.375
9 4.22222 2
9 3.55556 1.5
9 3.77778 1.625
9 4 2.5
9 3.55556 1.5
9 3.55556 1.875
9 4.88889 1.875
9 3.77778 1.5
9 3.77778 2.125
9 3.77778 1.25
9 4.88889 3.125
9 3.77778 1.625
9 4.22222 2.375
9 4.66667 1.75
9 4.22222 1.625
9 3.55556 1.125
9 3.55556 1.5
9 4.88889 1.875
9 4.22222 1.875
9 4.66667 2.25
9 4.66667 2
9 4.44444 2
9 3.77778 1.5
9 5.55556 2.25
9 3.77778 1.25
9 4.22222 2
9 3.77778 1.25
9 4.66667 1.75
9 3.55556 1.25
9 4.88889 2.625
9 3.77778 1.5
9 4.88889 2.625
9 3.77778 1.5
9 4.22222 1.75
9 4.22222 2.25
9 3.77778 1.625
9 4 2
9 4.66667 1.875
9 4 1.5
9 4 1.5
9 6.66667 3.5
9 4.22222 1.625
9 4.88889 1.875
9 3.77778 1.25
9 4.22222 1.5
9 4 2.125
9 3.55556 1.25
9 3.77778 1.25
9 4.88889 2.375
9 4.22222 1.75
9 4.88889 2.125
9 3.55556 1.125
9 4.66667 1.75
9 4.22222 1.875
9 4.66667 2.125
9 4.22222 1.75
9 4.22222 1.625
9 4.22222 1.625
9 4.22222 1.5
9 5.55556 2.5
9 4.66667 1.75
9 4.22222 2.25
9 3.55556 1.125
9 3.55556 1.375
9 4.22222 2.25
9 4.88889 1.875
9 3.55556 1.25
9 3.77778 1.5
9 4 1.5
9 3.55556 1.25
9 4.22222 2
9 4.22222 1.875
9 4.22222 2.125
9 3.77778 1.625
9 3.77778 1.375
9 3.55556 1.125
9 6.66667 2.875
9 4 1.625
9 4.66667 1.75
9 3.77778 1.25
9 4.22222 2
9 4.88889 1.875
9 4.88889 2.375
9 4.22222 1.5
9 4 1.625
9 5.55556 2.75
9 4.22222 1.5
9 3.77778 1.75
9 4.22222 1.625
9 3.55556 1.625
9 3.77778 2.625
9 3.77778 1.875
9 4 1.375
9 3.77778 1.375
9 3.55556 1.25
9 3.55556 1.375
9 3.55556 1.125
9 3.77778 1.25
9 4.66667 2.25
9 4.66667 2.25
9 4 1.375
9 4.66667 2.25
9 5.55556 2.5
9 3.55556 1.125
9 4.66667 2
9 4.22222 1.875
9 4.88889 1.875
9 4.88889 1.875
9 4.22222 1.75
9 4 1.875
9 4 2.25
9 3.77778 1.25
9 4 2.25
9 4 1.875
9 3.77778 1.25
9 3.77778 1.625
9 4 2.375
9 4 1.375
9 3.77778 1.625
9 4.66667 1.75
9 3.55556 1.125
9 3.77778 1.375
9 4.22222 1.5
9 3.77778 1.25
9 4.22222 2.25
9 4 1.5
9 4.22222 2.25
9 4 1.5
9 4.22222 1.625
9 4.66667 2.25
9 4.22222 1.5
9 4.66667 2.5
9 4.22222 2.25
9 3.77778 1.625
9 4 2.25
9 4 1.75
9 5.55556 2.25
9 4.66667 2.5
9 3.55556 1.25
9 4.22222 1.5
9 4.22222 1.625
9 3.55556 1.375
9 3.77778 1.375
9 5.33333 2.5
9 3.77778 1.75
9 4 1.875
9 4.22222 1.5
9 4.22222 1.5
9 4.22222 1.75
9 3.55556 1.5
9 4 2
9 4.66667 2.125
9 4.22222 1.625
9 4 1.625
9 4.88889 1.875
9 4.66667 1.75
9 6.66667 2.875
9 5.55556 3
9 4.66667 2.375
9 4.44444 1.625
9 4 1.625
9 4.22222 1.75
9 3.55556 1.25
9 3.55556 1.25
9 4 1.625
9 4.22222 1.625
9 3.55556 1.625
9 4.22222 1.75
9 4 1.875
9 4.66667 2.25
9 4 1.5
9 4.88889 2.5
9 4 1.625
9 4.66667 1.75
9 3.77778 1.875
9 4.22222 2.125
9 4.22222 2.25
9 3.77778 1.25
9 4 2.375
9 4.22222 2.25
9 3.77778 1.25
9 3.77778 1.625
9 4.66667 2.5
9 3.55556 1.125
9 3.55556 1.125
9 6.66667 3.25
9 4 1.875
9 3.77778 1.5
9 4.66667 2.25
9 4 1.375
9 4.22222 2.125
9 3.55556 1.375
9 4 1.625
9 4.66667 2.5
9 4.66667 2.5
9 3.55556 1.25
9 3.77778 1.5
9 4.88889 2.25
9 3.77778 1.875
9 4.66667 2.625
9 3.77778 1.625
9 3.55556 1.125
9 4.22222 1.75
9 4.88889 1.875
9 4 1.375
9 4.44444 1.875
9 4.22222 2
9 5.55556 2.75
9 4.22222 1.625
9 4.22222 1.5
9 3.77778 1.25
9 3.77778 1.375
9 4 1.375
9 4.88889 1.875
9 3.77778 1.25
9 4.66667 2.5
9 4.22222 1.5
9 4.88889 2.875
9 4.66667 2.5
9 3.77778 1.625
9 4.22222 2.125
9 4.22222 1.5
9 4.22222 1.625
9 3.55556 2.125
9 4.66667 2
9 3.55556 1.625
9 4.44444 2.125
9 3.77778 1.375
9 3.55556 1.375
9 4.22222 1.75
9 3.77778 1.625
9 4 2.125
9 4.22222 1.5
9 3.55556 1.125
9 4.22222 2.625
9 3.55556 1.25
9 3.55556 1.125
9 3.77778 1.375
9 4.22222 2.375
9 3.77778 1.5
9 3.77778 1.5
9 5.55556 3
9 4.22222 1.75
9 4 1.625
9 4.44444 1.625
9 4 1.75
9 4.22222 1.625
9 4.88889 2.625
9 4 1.625
9 3.77778 2.125
9 4.22222 1.5
9 4 1.625
9 4.22222 1.75
9 4 1.375
9 4.22222 2.25
9 3.77778 1.625
9 4.22222 1.5
9 4.88889 2.125
9 4.66667 1.75
9 4 2
9 5.77778 3.125
9 5.55556 2.75
9 6.66667 3.5
9 3.77778 1.25
9 4.44444 2.125
9 4.22222 1.625
9 3.77778 1.25
9 4.66667 2.125
9 4.22222 1.625
9 4.22222 1.5
9 4.22222 2.125
9 3.77778 1.25
9 3.55556 1.125
9 4.88889 2
9 3.77778 1.25
9 4.66667 2
9 4.22222 1.75
9 4.22222 1.75
9 4.88889 2
9 3.77778 1.625
9 4.88889 2.75
9 3.77778 1.625
9 3.77778 1.625
9 4 2
9 3.77778 2.125
9 3.77778 1.375
9 3.55556 1.125
9 4 1.625
9 3.55556 1.75
9 3.77778 1.25
9 4.22222 2.25
9 3.55556 1.25
9 4.22222 1.5
9 4.88889 2.25
9 4 1.75
9 3.77778 1.625
9 4.22222 2
9 4.22222 1.5
9 4.44444 1.875
9 3.77778 1.25
9 4.66667 2.25
9 3.77778 1.25
9 4.22222 1.875
9 4.22222 2
9 4.22222 1.5
9 4.88889 1.875
9 3.77778 1.75
9 4 1.75
9 3.77778 1.25
9 4 1.75
9 4.88889 3
9 3.77778 2
9 4 1.375
9 4.22222 1.875
9 3.55556 1.375
9 3.55556 1.125
9 3.77778 1.375
9 3.77778 1.875
9 4.88889 2.25
9 4.22222 2.25
9 3.77778 1.5
9 4 1.5
9 3.77778 1.25
9 4.22222 2
9 3.77778 1.625
9 3.77778 1.625
9 4.22222 1.625
9 3.55556 1.5
9 3.55556 1.25
9 4.22222 1.5
9 3.55556 1.5
9 4 1.375
9 4.22222 1.875
9 4 1.625
9 3.55556 1.5
9 4.22222 1.875
9 3.55556 1.5
9 3.55556 1.5
9 4 2.125
9 4 1.875
9 4.22222 2
9 4.22222 2
9 3.77778 1.25
9 3.77778 1.25
9 3.55556 1.125
9 4.22222 1.75
9 3.77778 1.875
9 4.66667 1.75
9 3.77778 1.25
9 4.22222 1.5
9 3.77778 1.625
9 4.88889 2
9 4.22222 2
9 4 2.125
9 4.88889 2
9 4.22222 1.5
9 4.22222 1.875
9 3.55556 1.75
9 3.55556 1.125
9 4.88889 3
9 3.77778 1.375
9 5.33333 2.625
9 5.55556 2.875
9 4.88889 1.875
9 3.55556 1.625
9 4.22222 1.875
9 3.77778 1.25
9 3.55556 1.5
9 3.77778 1.625
9 4.22222 1.5
9 3.77778 1.875
9 4 1.625
9 3.77778 1.375
9 3.55556 1.125
9 4.22222 2.25
9 4.22222 2.5
9 3.55556 1.375
9 4 2.25
9 4.88889 2
9 4.88889 2.125
9 4.22222 2.25
9 4 1.625
9 4.44444 2
9 4.22222 2.25
9 3.77778 1.75
9 4.66667 2.375
9 4.88889 3.125
9 3.77778 2.375
9 3.55556 1.5
9 3.77778 1.75
9 4 1.375
9 4.88889 1.875
9 3.77778 1.25
9 3.55556 1.125
9 3.77778 1.5
9 4.22222 1.625
9 3.77778 2
9 5.77778 3.375
9 3.55556 1.25
9 4.66667 2.375
9 4 1.625
9 4.22222 1.75
9 4.22222 1.5
9 4.88889 1.875
9 6.66667 2.875
9 4.88889 2.25
9 4.66667 2
9 3.77778 1.25
9 3.77778 1.375
9 3.77778 1.625
9 4.22222 1.5
9 4.22222 1.5
9 3.77778 1.25
9 3.77778 1.375
9 4.66667 2.125
9 4.22222 2.25
9 5.55556 2.25
9 4 2.25
9 4 1.625
9 3.77778 1.375
9 3.77778 1.375
9 4.22222 1.5
9 4 2
9 3.55556 1.375
9 4.22222 1.5
9 3.77778 1.75
9 3.55556 1.625
9 3.77778 1.25
9 4 1.5
9 4.66667 1.875
9 3.77778 1.625
9 3.77778 1.625
9 3.77778 1.625
9 3.55556 1.25
9 4.22222 1.625
9 4 1.625
9 4.66667 2.625
9 3.77778 1.625
9 5.55556 2.75
9 3.77778 1.375
9 3.77778 1.875
9 3.77778 1.625
9 5.55556 2.25
9 3.77778 1.25
9 3.77778 2
9 4.88889 1.875
9 4.66667 2.375
9 3.77778 1.5
9 3.77778 1.375
9 3.55556 1.25
9 4.22222 1.625
9 4.66667 2.5
9 4.66667 2.125
9 4.22222 2.25
9 3.55556 1.5
9 4.22222 1.5
9 3.55556 1.125
9 3.55556 2.125
9 3.77778 1.625
9 3.77778 1.5
9 4 1.875
9 4.22222 1.5
9 4 1.875
9 4 1.375
9 3.55556 1.625
9 3.77778 1.375
9 4.22222 1.75
9 3.77778 1.875
9 4.22222 1.75
9 4.66667 2.5
9 5.77778 2.375
9 4.44444 1.875
9 4 1.875
9 4.88889 1.875
9 4.66667 2.25
9 4.66667 2
9 4.22222 2.125
9 4.88889 2.25
9 3.77778 1.375
9 4.66667 1.75
9 4.88889 2.25
9 3.55556 1.375
